0,"Antwerp International Airport (Deurne)","Antwerp","Belgium","ANR","EBAW",51.1893997192,4.46027994156,39,1,"E","Europe/Brussels","airport","OurAirports"
1,"Brussels Airport","Brussels","Belgium","BRU","EBBR",50.901401519800004,4.48443984985,184,1,"E","Europe/Brussels","airport","OurAirports"
2,"Brussels South Charleroi Airport","Charleroi","Belgium","CRL","EBCI",50.459201812699995,4.45382022858,614,1,"E","Europe/Brussels","airport","OurAirports"
3,"Wevelgem Airport","Kortrijk-vevelgem","Belgium","QKT","EBKT",50.817199707,3.20472002029,64,1,"E","Europe/Brussels","airport","OurAirports"
4,"Liège Airport","Liege","Belgium","LGG","EBLG",50.63740158081055,5.443220138549805,659,1,"E","Europe/Brussels","airport","OurAirports"
5,"Ostend-Bruges International Airport","Ostend","Belgium","OST","EBOS",51.198898315399994,2.8622200489,13,1,"E","Europe/Brussels","airport","OurAirports"
6,"Limburg Regional Airport","Sint-truiden","Belgium",\N,"EBST",50.791900634799994,5.20167016983,246,1,"E","Europe/Brussels","airport","OurAirports"
7,"Bautzen Airport","Bautzen","Germany",\N,"EDAB",51.19361114501953,14.519721984863281,568,1,"E","Europe/Berlin","airport","OurAirports"
8,"Altenburg-Nobitz Airport","Altenburg","Germany","AOC","EDAC",50.9819450378418,12.506388664245605,640,1,"E","Europe/Berlin","airport","OurAirports"
9,"Dessau Airport","Dessau","Germany",\N,"EDAD",51.831693541,12.1909618378,187,1,"E","Europe/Berlin","airport","OurAirports"
10,"Eisenhüttenstadt Airport","Eisenhuettenstadt","Germany",\N,"EDAE",52.195856,14.58753,144,1,"E","Europe/Berlin","airport","OurAirports"
11,"Großenhain Airport","Suhl","Germany",\N,"EDAK",51.30805587768555,13.555556297302246,417,1,"E","Europe/Berlin","airport","OurAirports"
12,"Merseburg Airport","Muehlhausen","Germany",\N,"EDAM",51.3630556,11.9408333,341,1,"E","Europe/Berlin","airport","OurAirports"
13,"Halle-Oppin Airport","Halle","Germany",\N,"EDAQ",51.552223,12.053889,348,1,"E","Europe/Berlin","airport","OurAirports"
